14:49:43.021 -> deg: 135, a: 434, D: 3.80, t: 910243, 
14:49:43.492 -> deg: 135, a: 434, D: 3.79, t: 910746, 
14:49:44.007 -> deg: 135, a: 435, D: 3.79, t: 911249, 
14:49:44.525 -> deg: 135, a: 434, D: 4.03, t: 911752, 
14:49:44.993 -> deg: 135, a: 434, D: 3.80, t: 912256, 
14:49:45.509 -> deg: 135, a: 435, D: 3.80, t: 912759, 
14:49:46.023 -> deg: 135, a: 434, D: 3.80, t: 913262, 
14:49:46.492 -> deg: 135, a: 434, D: 3.80, t: 913765, 
14:49:47.007 -> deg: 135, a: 434, D: 3.36, t: 914268, 
14:49:47.522 -> deg: 135, a: 434, D: 3.80, t: 914771, 
14:49:47.996 -> deg: 135, a: 434, D: 3.80, t: 915274, 
14:49:48.511 -> deg: 135, a: 434, D: 3.80, t: 915777, 
14:49:49.025 -> deg: 135, a: 434, D: 3.43, t: 916280, 
14:49:49.495 -> deg: 135, a: 434, D: 3.86, t: 916783, 
14:49:50.013 -> deg: 135, a: 434, D: 3.86, t: 917286, 
14:49:50.527 -> deg: 135, a: 434, D: 3.86, t: 917789, 
14:49:50.998 -> deg: 135, a: 434, D: 3.10, t: 918292, 
14:49:51.518 -> deg: 135, a: 434, D: 3.96, t: 918795, 
14:49:51.988 -> deg: 135, a: 434, D: 4.08, t: 919298, 
14:49:52.501 -> deg: 135, a: 434, D: 3.63, t: 919801, 
14:49:53.018 -> deg: 135, a: 434, D: 3.43, t: 920304, 
14:49:53.488 -> deg: 135, a: 435, D: 4.34, t: 920807, 
14:49:54.004 -> deg: 135, a: 434, D: 3.10, t: 921310, 
14:49:54.519 -> deg: 135, a: 434, D: 4.72, t: 921814, 
14:49:54.991 -> deg: 135, a: 435, D: 4.61, t: 922317, 
14:49:55.506 -> deg: 135, a: 434, D: 4.29, t: 922820, 
14:49:56.019 -> deg: 135, a: 435, D: 4.34, t: 923323, 
14:49:56.487 -> deg: 135, a: 435, D: 4.87, t: 923826, 
14:49:57.002 -> deg: 135, a: 435, D: 4.94, t: 924329, 
14:49:57.521 -> deg: 135, a: 434, D: 4.56, t: 924832, 
14:49:57.987 -> deg: 135, a: 435, D: 4.99, t: 925335, 
14:49:58.504 -> deg: 135, a: 434, D: 4.82, t: 925838, 
14:49:59.017 -> deg: 135, a: 435, D: 5.15, t: 926341, 
14:49:59.487 -> deg: 135, a: 434, D: 5.21, t: 926844, 
14:50:00.003 -> deg: 135, a: 435, D: 5.27, t: 927347, 
14:50:00.517 -> deg: 135, a: 434, D: 5.75, t: 927850, 
14:50:00.986 -> deg: 135, a: 435, D: 5.37, t: 928353, 
14:50:01.505 -> deg: 135, a: 435, D: 5.04, t: 928856, 
14:50:02.021 -> deg: 135, a: 434, D: 5.52, t: 929359, 
14:50:02.490 -> deg: 135, a: 434, D: 5.57, t: 929862, 
